added_route_id,trip_id
32,53257789
33,53257789
32,53257815
33,53257815
32,53257236
33,53257236
32,53265329
33,53265329
32,53265355
33,53265355
40,53258505
50,53258505
40,53258610
50,53258610
40,53256780
50,53256780
40,53256781
50,53256781
40,53256783
50,53256783
40,53256786
50,53256786
40,53255861
50,53255861
40,53255862
50,53255862
40,53255863
50,53255863
40,53255864
50,53255864
40,53255865
50,53255865
40,53255866
50,53255866
40,53255867
50,53255867
40,53255868
50,53255868
40,53269527
50,53269527
40,53269528
50,53269528
40,53269529
50,53269529
40,53269530
50,53269530
40,53269531
50,53269531
40,53269532
50,53269532
40,53269533
50,53269533
40,53269534
50,53269534
40,53266013
50,53266013
40,53266117
50,53266117
40,53258481
50,53258481
40,53258492
50,53258492
40,53256782
50,53256782
40,53256784
50,53256784
40,53256785
50,53256785
40,53256787
50,53256787
40,53255860
50,53255860
40,53255869
50,53255869
40,53255870
50,53255870
40,53255871
50,53255871
40,53255872
50,53255872
40,53255873
50,53255873
40,53255874
50,53255874
40,53255875
50,53255875
40,53269526
50,53269526
40,53269535
50,53269535
40,53269536
50,53269536
40,53269537
50,53269537
40,53269538
50,53269538
40,53269539
50,53269539
40,53269540
50,53269540
40,53269541
50,53269541
40,53265990
50,53265990
40,53266001
50,53266001
441,53403181
442,53403181
441,53403189
442,53403189
441,53403190
442,53403190
441,53403210
442,53403210
441,53403215
442,53403215
441,53403221
442,53403221
441,53403224
442,53403224
441,53403228
442,53403228
441,53403231
442,53403231
441,53403236
442,53403236
441,53403237
442,53403237
441,53403242
442,53403242
441,53403249
442,53403249
441,53403252
442,53403252
441,53403258
442,53403258
441,53403268
442,53403268
441,53403278
442,53403278
441,53403281
442,53403281
441,53403285
442,53403285
441,53403611
442,53403611
441,53403615
442,53403615
441,53403617
442,53403617
441,53403618
442,53403618
441,53403619
442,53403619
441,53403620
442,53403620
441,53403623
442,53403623
441,53409641
442,53409641
441,53409643
442,53409643
441,53409645
442,53409645
441,53410244
442,53410244
